"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 17:15:46",4,88,75,0,0,0,0,0,1
"2014-11-29 17:19:33",4,316,327,0,0,0,0,0,2
"2014-11-29 17:24:38",4,939,1171,0,0,0,0,0,5
"2014-11-29 17:34:34",4,5093,5542,0,0,0,0,0,19
"2014-11-29 17:39:52",4,10675,12861,0,0,0,0,0,38
"2014-11-29 17:54:34",4,36327,45047,0,0,0,0,0,117
"2014-11-29 18:01:34",4,52301,66121,0,0,0,0,0,166
"2014-11-29 18:04:34",4,58536,74000,0,0,0,0,0,184
"2014-11-29 18:10:34",4,75817,97610,0,0,0,0,0,233
"2014-11-29 18:18:34",4,105025,138181,0,0,0,0,0,313
"2014-11-29 18:19:30",4,105025,138181,0,0,0,0,0,313
"2014-11-29 18:20:51",4,105025,138181,0,0,0,0,0,313
"2014-11-29 18:23:16",4,116980,154551,0,0,0,0,0,348
"2014-11-29 18:24:16",4,131551,175627,0,0,0,0,0,388
"2014-11-29 18:24:34",4,131551,175627,0,0,0,0,0,388
"2014-11-29 18:28:34",4,147576,196680,0,0,0,0,0,428
"2014-11-29 18:31:34",4,163776,218547,0,0,0,0,0,469
"2014-11-29 18:32:34",4,180812,240956,0,0,0,0,0,511
"2014-11-29 18:33:34",4,180812,240956,0,0,0,0,0,511
"2014-11-29 18:37:34",4,199619,264740,0,0,0,0,0,557
"2014-11-29 18:39:08",4,218758,290904,0,0,0,0,0,604
"2014-11-29 18:39:34",4,218758,290904,0,0,0,0,0,604
"2014-11-29 18:41:34",4,237547,315102,0,0,0,0,0,647
"2014-11-29 18:45:34",4,253272,334121,0,0,0,0,0,683
"2014-11-29 18:47:34",4,271615,359640,0,0,0,0,0,727
"2014-11-29 18:48:34",4,271615,359640,0,0,0,0,0,727
"2014-11-29 18:49:34",4,271615,359640,0,0,0,0,0,727
"2014-11-29 18:50:34",4,291958,385274,0,0,0,0,0,773
"2014-11-29 18:51:34",4,291958,385274,0,0,0,0,0,773
"2014-11-29 18:53:34",4,313333,413863,0,0,0,0,0,824
